epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,10702.1,0.48883,0.30745,0.86072,0.97264,0.97407,0.98693,0.90963,0.42546,0.25071,0.76709,0.000372683,0.000372683,0.000372683
114,10794.9,0.49837,0.30859,0.86531,0.96659,0.98111,0.9874,0.91005,0.42832,0.24304,0.77095,0.000363252,0.000363252,0.000363252
115,10888.1,0.49528,0.30902,0.86386,0.96777,0.99031,0.98778,0.9081,0.42736,0.25084,0.76896,0.00035382,0.00035382,0.00035382
116,10981.4,0.49522,0.31124,0.86516,0.96525,0.98981,0.98804,0.90838,0.43309,0.25328,0.77136,0.000344389,0.000344389,0.000344389
117,11074.1,0.49177,0.30537,0.86481,0.96784,0.98964,0.98816,0.90846,0.43132,0.24826,0.76962,0.000334958,0.000334958,0.000334958
118,11167.4,0.49208,0.30314,0.86311,0.96693,0.98577,0.98793,0.90932,0.42447,0.25197,0.76478,0.000325526,0.000325526,0.000325526
119,11260.6,0.48809,0.30787,0.86341,0.97607,0.9743,0.98874,0.90786,0.42547,0.25642,0.76403,0.000316095,0.000316095,0.000316095
120,11353.2,0.49537,0.30762,0.86341,0.96629,0.98688,0.98842,0.90963,0.43006,0.24899,0.76692,0.000306663,0.000306663,0.000306663
121,11445.8,0.49554,0.30969,0.86315,0.97353,0.97611,0.98812,0.9118,0.42794,0.25228,0.76619,0.000297232,0.000297232,0.000297232
122,11538.9,0.4905,0.30413,0.86262,0.96881,0.98363,0.98895,0.90997,0.42729,0.24574,0.76634,0.000287801,0.000287801,0.000287801
123,11632.1,0.4836,0.30239,0.85552,0.97602,0.97426,0.9898,0.91277,0.42688,0.24652,0.76563,0.000278369,0.000278369,0.000278369
124,11726,0.48352,0.29917,0.86139,0.97626,0.9746,0.98927,0.9087,0.42784,0.2441,0.76703,0.000268938,0.000268938,0.000268938
125,11819.5,0.48386,0.30583,0.86017,0.96687,0.98206,0.98882,0.90991,0.42787,0.24992,0.76672,0.000259506,0.000259506,0.000259506
126,11913.8,0.47875,0.30225,0.85653,0.97613,0.9747,0.98778,0.9058,0.42718,0.25213,0.76766,0.000250075,0.000250075,0.000250075
127,12006,0.48399,0.29915,0.86213,0.9748,0.97428,0.98782,0.90785,0.42507,0.25297,0.76635,0.000240644,0.000240644,0.000240644
128,12099.1,0.4862,0.29927,0.86226,0.97408,0.97392,0.98794,0.91012,0.42492,0.25096,0.76572,0.000231212,0.000231212,0.000231212
129,12191.7,0.47957,0.29992,0.86056,0.97509,0.97304,0.9881,0.90869,0.4235,0.24875,0.76562,0.000221781,0.000221781,0.000221781
130,12284.5,0.48461,0.30138,0.86243,0.96872,0.97965,0.98918,0.90858,0.42193,0.24337,0.76441,0.000212349,0.000212349,0.000212349
131,12378.6,0.48107,0.29988,0.85962,0.97055,0.9775,0.98881,0.9091,0.42329,0.2453,0.76544,0.000202918,0.000202918,0.000202918
132,12471.7,0.47838,0.29709,0.85701,0.97495,0.97371,0.98872,0.90954,0.42576,0.24849,0.76565,0.000193487,0.000193487,0.000193487
133,12565.1,0.48031,0.29806,0.85821,0.97628,0.97204,0.98821,0.90862,0.42247,0.2499,0.76458,0.000184055,0.000184055,0.000184055
134,12657.9,0.47862,0.29636,0.86074,0.97621,0.97368,0.98893,0.91098,0.42176,0.24827,0.76475,0.000174624,0.000174624,0.000174624
135,12751.3,0.47499,0.28993,0.85915,0.97382,0.97562,0.9882,0.91175,0.42139,0.25235,0.76432,0.000165192,0.000165192,0.000165192
136,12844.9,0.47786,0.29531,0.86151,0.97673,0.97592,0.98913,0.91278,0.42364,0.2469,0.76523,0.000155761,0.000155761,0.000155761
137,12937.9,0.4721,0.29137,0.85825,0.9767,0.97382,0.98918,0.91111,0.42315,0.24606,0.76512,0.00014633,0.00014633,0.00014633
138,13031.7,0.47152,0.29171,0.85973,0.97273,0.97691,0.9899,0.91311,0.42226,0.243,0.76498,0.000136898,0.000136898,0.000136898
139,13124.9,0.47476,0.29027,0.85979,0.97593,0.97284,0.98892,0.90985,0.42105,0.24536,0.76454,0.000127467,0.000127467,0.000127467
140,13218.1,0.47124,0.29178,0.85896,0.9736,0.97197,0.98828,0.91078,0.42417,0.24809,0.76505,0.000118035,0.000118035,0.000118035
141,13352.4,0.431,0.25782,0.83219,0.98047,0.96647,0.988,0.91091,0.42739,0.25364,0.76606,0.000108604,0.000108604,0.000108604
142,13444.8,0.42554,0.26118,0.82931,0.97912,0.96846,0.98733,0.91007,0.42785,0.26363,0.76633,9.91726e-05,9.91726e-05,9.91726e-05
143,13538,0.41807,0.24567,0.82882,0.97396,0.97437,0.98734,0.91004,0.42728,0.26271,0.76567,8.97412e-05,8.97412e-05,8.97412e-05
144,13630,0.41745,0.25024,0.82107,0.97474,0.9735,0.98703,0.91117,0.42685,0.26343,0.76541,8.03098e-05,8.03098e-05,8.03098e-05
145,13721,0.41448,0.24303,0.82344,0.97542,0.97355,0.98688,0.90866,0.42735,0.26361,0.76574,7.08784e-05,7.08784e-05,7.08784e-05
146,13813,0.41487,0.24749,0.82798,0.97556,0.97388,0.98719,0.9102,0.4278,0.25993,0.76584,6.1447e-05,6.1447e-05,6.1447e-05
147,13905,0.41652,0.24638,0.81998,0.97465,0.97328,0.98732,0.9096,0.42766,0.26323,0.76599,5.20156e-05,5.20156e-05,5.20156e-05
148,14000.3,0.41175,0.24338,0.82354,0.97369,0.97369,0.98731,0.91037,0.42683,0.26195,0.7657,4.25842e-05,4.25842e-05,4.25842e-05
149,14090.8,0.41544,0.24684,0.82538,0.97377,0.97347,0.98743,0.91102,0.42632,0.26171,0.76543,3.31528e-05,3.31528e-05,3.31528e-05
150,14181.9,0.41113,0.24306,0.82193,0.97473,0.97319,0.9873,0.91095,0.42497,0.26094,0.76488,2.37214e-05,2.37214e-05,2.37214e-05
